        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       4                      -2.9718468
               4.0019999                      -2.9894466
               4.0040002                      -3.0071346
                   4.006                      -3.0249083
               4.0079999                      -3.0427701
               4.0100002                      -3.0607201
               4.0120001                      -3.0787591
               4.0139999                      -3.0968859
               4.0159998                      -3.1151018
               4.0180001                      -3.1334086
                    4.02                      -3.1518043
               4.0219998                      -3.1702907
               4.0240002                      -3.1888685
                   4.026                      -3.2075381
               4.0279999                      -3.2262992
               4.0300002                      -3.2451534
               4.0320001                      -3.2640999
               4.0339999                      -3.2831417
               4.0359998                      -3.3022764
               4.0380001                      -3.3215074
                    4.04                      -3.3408331
               4.0419998                      -3.3602552
               4.0440001                      -3.3797753
                   4.046                      -3.3993922
               4.0479999                      -3.4191081
               4.0500002                      -3.4389225
                   4.052                       -3.458838
               4.0539999                      -3.4788546
               4.0560002                      -3.4989724
               4.0580001                      -3.5191925
               4.0599999                      -3.5395174
               4.0619998                      -3.5599455
               4.0640001                      -3.5804788
                   4.066                      -3.6011183
               4.0679998                      -3.6218654
               4.0700002                      -3.6427207
                   4.072                      -3.6636841
               4.0739999                      -3.6847583
               4.0760002                      -3.7059443
               4.0780001                      -3.7272412
               4.0799999                      -3.7486523
               4.0819998                      -3.7701769
               4.0840001                      -3.7918177
                   4.086                      -3.8135745
               4.0879998                      -3.8354496
               4.0900002                      -3.8574438
                   4.092                      -3.8795577
               4.0939999                      -3.9017934
               4.0960002                      -3.9241504
                   4.098                      -3.9466334
               4.0999999                      -3.9692406
               4.1020002                       -3.991974
               4.1040001                      -4.0148347
               4.1059999                      -4.0378254
               4.1079998                      -4.0609467
               4.1100001                      -4.0841988
                   4.112                      -4.1075842
               4.1139998                      -4.1311044
               4.1160002                      -4.1547622
                   4.118                      -4.1785555
               4.1199999                      -4.2024892
               4.1220002                      -4.2265628
               4.1240001                      -4.2507786
               4.1259999                      -4.2751374
               4.1279998                      -4.2996417
               4.1300001                      -4.3242926
                   4.132                      -4.3490917
               4.1339998                      -4.3740406
               4.1360002                      -4.3991408
                   4.138                      -4.4243942
               4.1399999                      -4.4498021
               4.1420002                      -4.4753669
               4.1440001                      -4.5010891
               4.1459999                      -4.5269718
               4.1479998                      -4.5530161
               4.1500001                      -4.5792234
                   4.152                      -4.6055963
               4.1539998                      -4.6321357
               4.1560001                       -4.658843
                   4.158                      -4.6857226
               4.1599998                      -4.7127739
               4.1620002                      -4.7399987
                   4.164                       -4.767399
               4.1659999                      -4.7949789
               4.1680002                       -4.822738
               4.1700001                      -4.8506782
               4.1719999                      -4.8788034
               4.1739998                      -4.9071131
               4.1760001                      -4.9356117
                   4.178                      -4.9642995
               4.1799998                      -4.9931804
               4.1820002                      -5.0222522
                   4.184                      -5.0515232
               4.1859999                      -5.0809906
               4.1880002                      -5.1106578
               4.1900001                      -5.1405282
               4.1919999                      -5.1706026
               4.1939998                       -5.200883
               4.1960001                      -5.2313726
                   4.198                      -5.2620729
               4.1999998                      -5.2929861
               4.2020001                       -5.324115
                   4.204                      -5.3554618
               4.2059999                      -5.3870281
               4.2080002                      -5.4188166
                    4.21                        -5.45083
               4.2119999                      -5.4830714
               4.2140002                      -5.5155406
               4.2160001                      -5.5482416
               4.2179999                      -5.5811769
               4.2199998                      -5.6143491
               4.2220001                      -5.6477596
                   4.224                      -5.6814109
               4.2259998                      -5.7153078
               4.2280002                      -5.7494504
                    4.23                       -5.783842
               4.2319999                      -5.8184851
               4.2340002                      -5.8533825
               4.2360001                      -5.8885367
               4.2379999                      -5.9239509
               4.2399998                      -5.9596264
               4.2420001                      -5.9955679
                   4.244                      -6.0317751
               4.2459998                      -6.0682539
               4.2480001                      -6.1050055
                    4.25                      -6.1420333
               4.2519999                      -6.1793395
               4.2540002                      -6.2169271
                   4.256                      -6.2547987
               4.2579999                      -6.2929589
               4.2600002                      -6.3314091
               4.2620001                      -6.3701526
               4.2639999                      -6.4091916
               4.2659998                      -6.4485316
               4.2680001                      -6.4881729
                    4.27                      -6.5281201
               4.2719998                      -6.5683753
               4.2740002                      -6.6089432
                   4.276                      -6.6498268
               4.2779999                       -6.691027
               4.2800002                      -6.7325496
               4.2820001                      -6.7743976
               4.2839999                       -6.816574
               4.2859998                      -6.8590805
               4.2880001                      -6.9019232
                    4.29                      -6.9451043
               4.2919998                      -6.9886278
               4.2940001                      -7.0324969
                   4.296                       -7.076716
               4.2979999                      -7.1212865
               4.3000002                      -7.1662141
                   4.302                      -7.2115015
               4.3039999                      -7.2571551
               4.3060002                      -7.3031749
               4.3080001                      -7.3495667
               4.3099999                      -7.3963336
               4.3119998                      -7.4434813
               4.3140001                      -7.4910117
                   4.316                      -7.5389301
               4.3179998                      -7.5872414
               4.3200002                      -7.6359481
                   4.322                      -7.6850551
               4.3239999                      -7.7345669
               4.3260002                      -7.7844877
               4.3280001                      -7.8348216
               4.3299999                      -7.8855739
               4.3319998                      -7.9367479
               4.3340001                        -7.98835
                   4.336                      -8.0403833
               4.3379998                      -8.0928536
               4.3400002                      -8.1457642
                   4.342                      -8.1991202
               4.3439999                      -8.2529293
               4.3460002                      -8.3071932
                   4.348                      -8.3619186
               4.3499999                      -8.4171108
               4.3520002                      -8.4727734
               4.3540001                      -8.5289149
               4.3559999                       -8.585537
               4.3579998                       -8.642648
               4.3600001                      -8.7002511
                   4.362                      -8.7583548
               4.3639998                      -8.8169625
               4.3660002                       -8.876081
                   4.368                      -8.9357155
               4.3699999                      -8.9958734
               4.3720002                      -9.0565603
               4.3740001                      -9.1177825
               4.3759999                      -9.1795459
               4.3779998                      -9.2418563
               4.3800001                      -9.3047212
                   4.382                      -9.3681469
               4.3839998                      -9.4321411
               4.3860002                      -9.4967096
                   4.388                       -9.561859
               4.3899999                      -9.6275992
               4.3920002                      -9.6939339
               4.3940001                      -9.7608724
               4.3959999                      -9.8284206
               4.3979998                      -9.8965872
               4.4000001                      -9.9653808
                   4.402                      -10.034808
               4.4039998                      -10.104877
               4.4060001                      -10.175597
                   4.408                      -10.246974
               4.4099998                      -10.319019
               4.4120002                      -10.391738
                   4.414                      -10.465142
               4.4159999                      -10.539239
               4.4180002                      -10.614037
               4.4200001                      -10.689547
               4.4219999                      -10.765777
               4.4239998                      -10.842737
               4.4260001                      -10.920436
                   4.428                      -10.998884
               4.4299998                      -11.078092
               4.4320002                       -11.15807
                   4.434                      -11.238827
               4.4359999                      -11.320374
               4.4380002                      -11.402723
               4.4400001                      -11.485883
               4.4419999                      -11.569865
               4.4439998                      -11.654681
               4.4460001                      -11.740344
                   4.448                      -11.826862
               4.4499998                      -11.914249
               4.4520001                      -12.002515
                   4.454                      -12.091674
               4.4559999                      -12.181737
               4.4580002                      -12.272719
                    4.46                      -12.364628
               4.4619999                      -12.457479
               4.4640002                      -12.551286
               4.4660001                      -12.646058
               4.4679999                      -12.741814
               4.4699998                      -12.838562
               4.4720001                      -12.936317
                   4.474                      -13.035094
               4.4759998                      -13.134904
               4.4780002                      -13.235762
                    4.48                      -13.337681
               4.4819999                      -13.440676
               4.4840002                      -13.544758
               4.4860001                      -13.649942
               4.4879999                      -13.756242
               4.4899998                      -13.863671
               4.4920001                      -13.972243
                   4.494                       -14.08197
               4.4959998                      -14.192865
               4.4980001                      -14.304941
                     4.5                      -14.418211
               4.5019999                      -14.532687
               4.5040002                      -14.648378
                   4.506                      -14.765298
               4.5079999                      -14.883457
               4.5100002                      -15.002862
               4.5120001                      -15.123522
               4.5139999                      -15.245449
               4.5159998                      -15.368644
               4.5180001                      -15.493116
                    4.52                      -15.618868
               4.5219998                      -15.745902
               4.5240002                      -15.874219
                   4.526                      -16.003816
               4.5279999                      -16.134693
               4.5300002                       -16.26684
               4.5320001                      -16.400249
               4.5339999                      -16.534907
               4.5359998                      -16.670801
               4.5380001                       -16.80791
                    4.54                      -16.946209
               4.5419998                      -17.085671
               4.5440001                       -17.22626
                   4.546                       -17.36794
               4.5479999                      -17.510662
               4.5500002                      -17.654373
                   4.552                      -17.799015
               4.5539999                      -17.944517
               4.5560002                      -18.090801
               4.5580001                      -18.237777
               4.5599999                      -18.385349
               4.5619998                      -18.533405
               4.5640001                       -18.68182
                   4.566                      -18.830457
               4.5679998                      -18.979164
               4.5700002                      -19.127773
                   4.572                      -19.276098
               4.5739999                      -19.423937
               4.5760002                      -19.571067
               4.5780001                      -19.717247
               4.5799999                      -19.862216
               4.5819998                      -20.005687
               4.5840001                       -20.14736
                   4.586                      -20.286904
               4.5879998                      -20.423972
               4.5900002                      -20.558196
                   4.592                      -20.689183
               4.5939999                      -20.816528
               4.5960002                      -20.939804
                   4.598                       -21.05857
               4.5999999                      -21.172376
               4.6020002                      -21.280767
               4.6040001                      -21.383276
               4.6059999                      -21.479449
               4.6079998                      -21.568836
               4.6100001                      -21.650999
                   4.612                      -21.725524
               4.6139998                      -21.792023
               4.6160002                      -21.850145
                   4.618                      -21.899573
               4.6199999                      -21.940045
               4.6220002                      -21.971347
               4.6240001                      -21.993319
               4.6259999                      -22.005868
               4.6279998                      -22.008957
               4.6300001                      -22.002613
                   4.632                      -21.986925
               4.6339998                      -21.962047
               4.6360002                      -21.928182
                   4.638                       -21.88559
               4.6399999                      -21.834577
               4.6420002                      -21.775496
               4.6440001                      -21.708726
               4.6459999                       -21.63468
               4.6479998                      -21.553793
               4.6500001                      -21.466512
                   4.652                      -21.373293
               4.6539998                        -21.2746
               4.6560001                      -21.170889
                   4.658                      -21.062612
               4.6599998                      -20.950208
               4.6620002                      -20.834106
                   4.664                      -20.714716
               4.6659999                      -20.592428
               4.6680002                      -20.467615
               4.6700001                      -20.340627
               4.6719999                      -20.211793
               4.6739998                       -20.08142
               4.6760001                      -19.949791
                   4.678                      -19.817175
               4.6799998                      -19.683811
               4.6820002                      -19.549926
                   4.684                      -19.415723
               4.6859999                      -19.281388
               4.6880002                      -19.147093
               4.6900001                      -19.012991
               4.6919999                      -18.879218
               4.6939998                      -18.745903
               4.6960001                      -18.613154
                   4.698                      -18.481076
               4.6999998                      -18.349754
               4.7020001                      -18.219268
                   4.704                      -18.089688
               4.7059999                      -17.961074
               4.7080002                      -17.833481
                    4.71                      -17.706955
               4.7119999                      -17.581536
               4.7140002                      -17.457258
               4.7160001                      -17.334148
               4.7179999                      -17.212232
               4.7199998                      -17.091531
               4.7220001                      -16.972056
                   4.724                      -16.853823
               4.7259998                      -16.736839
               4.7280002                      -16.621113
                    4.73                      -16.506646
               4.7319999                      -16.393439
               4.7340002                      -16.281493
               4.7360001                      -16.170805
               4.7379999                      -16.061371
               4.7399998                      -15.953183
               4.7420001                      -15.846239
